Method,Path,Domain,Controller,OperationId,Auth,UI Usage
GET,/api/resource,Files / Uploads,TbResourceController,getSystemOrTenantResourcesByIdsV1,"hasAnyAuthority('SYS_ADMIN', 'TENANT_ADMIN')",resource.service.ts
GET,/api/resource/list,Files / Uploads,TbResourceController,getSystemOrTenantResourcesByIds,hasAnyAuthority('TENANT_ADMIN'),
GET,/api/resource/tenant,Files / Uploads,TbResourceController,getTenantResources,hasAnyAuthority('TENANT_ADMIN'),resource.service.ts
GET,/api/resource/lwm2m/page,Files / Uploads,TbResourceController,getLwm2mListObjectsPage,hasAnyAuthority('TENANT_ADMIN'),
GET,/api/resource/lwm2m,Files / Uploads,TbResourceController,getLwm2mListObjects,"hasAnyAuthority('SYS_ADMIN', 'TENANT_ADMIN')",
DELETE,/api/resource/{resourceId},Files / Uploads,TbResourceController,deleteResource,"hasAnyAuthority('SYS_ADMIN', 'TENANT_ADMIN')","resource.service.ts, device-profile.service.ts"
POST,/api/entitiesQuery/count,Internal / System APIs,EntityQueryController,countEntitiesByQuery,"hasAnyAuthority('SYS_ADMIN', 'TENANT_ADMIN', 'CUSTOMER_USER')",
POST,/api/entitiesQuery/find,Internal / System APIs,EntityQueryController,findEntityDataByQuery,"hasAnyAuthority('TENANT_ADMIN', 'CUSTOMER_USER')",entity.service.ts
POST,/api/alarmsQuery/find,Internal / System APIs,EntityQueryController,findAlarmDataByQuery,"hasAnyAuthority('TENANT_ADMIN', 'CUSTOMER_USER')",entity.service.ts
POST,/api/alarmsQuery/count,Internal / System APIs,EntityQueryController,countAlarmsByQuery,"hasAnyAuthority('TENANT_ADMIN', 'CUSTOMER_USER')",
POST,/api/entitiesQuery/find/keys,Internal / System APIs,EntityQueryController,findAvailableEntityKeysByQuery,"hasAnyAuthority('TENANT_ADMIN', 'CUSTOMER_USER')",
POST,/api/v2/entitiesQuery/find/keys,Internal / System APIs,EntityQueryController,findAvailableEntityKeysByQueryV2,hasAnyAuthority('SYS_ADMIN'),
POST,/api/edqs/system/request,Internal / System APIs,EntityQueryController,processSystemEdqsRequest,hasAnyAuthority('SYS_ADMIN'),
GET,/api/edqs/state,Internal / System APIs,EntityQueryController,getEdqsState,hasAnyAuthority('SYS_ADMIN'),
GET,/{entityType}/{entityId}/keys/attributes,Telemetry & Timeseries,TelemetryController,getAttributeKeys,"hasAnyAuthority('SYS_ADMIN', 'TENANT_ADMIN', 'CUSTOMER_USER')",
GET,/{entityType}/{entityId}/keys/attributes/{scope},Telemetry & Timeseries,TelemetryController,getAttributeKeysByScope,"hasAnyAuthority('SYS_ADMIN', 'TENANT_ADMIN', 'CUSTOMER_USER')",
GET,/{entityType}/{entityId}/values/attributes,Telemetry & Timeseries,TelemetryController,getAttributes,"hasAnyAuthority('SYS_ADMIN', 'TENANT_ADMIN', 'CUSTOMER_USER')",
GET,/{entityType}/{entityId}/values/attributes/{scope},Telemetry & Timeseries,TelemetryController,getAttributesByScope,"hasAnyAuthority('SYS_ADMIN', 'TENANT_ADMIN', 'CUSTOMER_USER')",
GET,/{entityType}/{entityId}/keys/timeseries,Telemetry & Timeseries,TelemetryController,getTimeseriesKeys,"hasAnyAuthority('SYS_ADMIN', 'TENANT_ADMIN', 'CUSTOMER_USER')",
GET,/{entityType}/{entityId}/values/timeseries,Telemetry & Timeseries,TelemetryController,getLatestTimeseries,"hasAnyAuthority('SYS_ADMIN', 'TENANT_ADMIN', 'CUSTOMER_USER')",
GET,/{entityType}/{entityId}/values/timeseries,Telemetry & Timeseries,TelemetryController,getTimeseries,"hasAnyAuthority('SYS_ADMIN', 'TENANT_ADMIN', 'CUSTOMER_USER')",
GET,/{entityType}/{entityId}/values/timeseries/history,Telemetry & Timeseries,TelemetryController,getTimeseriesHistory,"hasAnyAuthority('SYS_ADMIN', 'TENANT_ADMIN', 'CUSTOMER_USER')",
POST,/{deviceId}/{scope},Telemetry & Timeseries,TelemetryController,saveDeviceAttributes,"hasAnyAuthority('SYS_ADMIN', 'TENANT_ADMIN', 'CUSTOMER_USER')","calculated-fields.service.ts, api-key.service.ts, resource.service.ts, queue.service.ts, notification.service.ts, component-descriptor.service.ts, edge.service.ts, widget.service.ts, rule-chain.service.ts, customer.service.ts, asset.service.ts, alarm.service.ts, usage-info.service.ts, dashboard.service.ts, domain.service.ts, user.service.ts, device.service.ts, tenant.service.ts, entity-view.service.ts, entity-relation.service.ts, asset-profile.service.ts, image.service.ts, ota-package.service.ts, device-profile.service.ts, tenant-profile.service.ts"
POST,/{entityType}/{entityId}/{scope},Telemetry & Timeseries,TelemetryController,saveEntityAttributesV1,"hasAnyAuthority('SYS_ADMIN', 'TENANT_ADMIN', 'CUSTOMER_USER')","trendz-settings.service.ts, audit-log.service.ts, user-settings.service.ts, calculated-fields.service.ts, entity.service.ts, api-key.service.ts, resource.service.ts, ai-model.service.ts, queue.service.ts, notification.service.ts, component-descriptor.service.ts, edge.service.ts, widget.service.ts, rule-chain.service.ts, customer.service.ts, asset.service.ts, alarm-rules.service.ts, alarm.service.ts, dashboard.service.ts, domain.service.ts, user.service.ts, device.service.ts, tenant.service.ts, entity-view.service.ts, mobile-app.service.ts, oauth2.service.ts, admin.service.ts, entity-relation.service.ts, asset-profile.service.ts, ui-settings.service.ts, auth.service.ts, image.service.ts, ota-package.service.ts, two-factor-authentication.service.ts, device-profile.service.ts, tenant-profile.service.ts"
POST,/{entityType}/{entityId}/attributes/{scope},Telemetry & Timeseries,TelemetryController,saveEntityAttributesV2,"hasAnyAuthority('SYS_ADMIN', 'TENANT_ADMIN', 'CUSTOMER_USER')",
POST,/{entityType}/{entityId}/timeseries/{scope},Telemetry & Timeseries,TelemetryController,saveEntityTelemetry,"hasAnyAuthority('SYS_ADMIN', 'TENANT_ADMIN', 'CUSTOMER_USER')",
POST,/{entityType}/{entityId}/timeseries/{scope}/{ttl},Telemetry & Timeseries,TelemetryController,saveEntityTelemetryWithTTL,"hasAnyAuthority('SYS_ADMIN', 'TENANT_ADMIN', 'CUSTOMER_USER')",
DELETE,/{entityType}/{entityId}/timeseries/delete,Telemetry & Timeseries,TelemetryController,deleteEntityTimeseries,"hasAnyAuthority('SYS_ADMIN', 'TENANT_ADMIN', 'CUSTOMER_USER')",attribute.service.ts
DELETE,/{deviceId}/{scope},Telemetry & Timeseries,TelemetryController,deleteDeviceAttributes,"hasAnyAuthority('SYS_ADMIN', 'TENANT_ADMIN', 'CUSTOMER_USER')","calculated-fields.service.ts, api-key.service.ts, resource.service.ts, queue.service.ts, notification.service.ts, component-descriptor.service.ts, edge.service.ts, widget.service.ts, rule-chain.service.ts, customer.service.ts, asset.service.ts, alarm.service.ts, usage-info.service.ts, dashboard.service.ts, domain.service.ts, user.service.ts, device.service.ts, tenant.service.ts, entity-view.service.ts, entity-relation.service.ts, asset-profile.service.ts, image.service.ts, ota-package.service.ts, device-profile.service.ts, tenant-profile.service.ts"
DELETE,/{entityType}/{entityId}/{scope},Telemetry & Timeseries,TelemetryController,deleteEntityAttributes,"hasAnyAuthority('SYS_ADMIN', 'TENANT_ADMIN', 'CUSTOMER_USER')","trendz-settings.service.ts, audit-log.service.ts, user-settings.service.ts, calculated-fields.service.ts, entity.service.ts, api-key.service.ts, resource.service.ts, ai-model.service.ts, queue.service.ts, notification.service.ts, component-descriptor.service.ts, edge.service.ts, widget.service.ts, rule-chain.service.ts, customer.service.ts, asset.service.ts, alarm-rules.service.ts, alarm.service.ts, dashboard.service.ts, domain.service.ts, user.service.ts, device.service.ts, tenant.service.ts, entity-view.service.ts, mobile-app.service.ts, oauth2.service.ts, admin.service.ts, entity-relation.service.ts, asset-profile.service.ts, ui-settings.service.ts, auth.service.ts, image.service.ts, ota-package.service.ts, two-factor-authentication.service.ts, device-profile.service.ts, tenant-profile.service.ts, attribute.service.ts"
GET,/api/lwm2m/deviceProfile/bootstrap/{isBootstrapServer},OTA / Edge / Provisioning,Lwm2mController,getLwm2mBootstrapSecurityInfo,"hasAnyAuthority('TENANT_ADMIN', 'CUSTOMER_USER')",device-profile.service.ts
POST,/api/lwm2m/device-credentials,OTA / Edge / Provisioning,Lwm2mController,saveLwm2mDeviceWithCredentials,"hasAnyAuthority('TENANT_ADMIN', 'CUSTOMER_USER')",
GET,/api/entityView/{entityViewId},Internal / System APIs,EntityViewController,getEntityViewById,"hasAnyAuthority('TENANT_ADMIN', 'CUSTOMER_USER')",entity-view.service.ts
GET,/api/entityView/info/{entityViewId},Internal / System APIs,EntityViewController,getEntityViewInfoById,"hasAnyAuthority('TENANT_ADMIN', 'CUSTOMER_USER')",entity-view.service.ts
POST,/api/entityView,Internal / System APIs,EntityViewController,saveEntityView,hasAuthority('TENANT_ADMIN'),entity-view.service.ts
DELETE,/api/entityView/{entityViewId},Internal / System APIs,EntityViewController,deleteEntityView,hasAuthority('TENANT_ADMIN'),entity-view.service.ts
GET,/api/tenant/entityViews,Internal / System APIs,EntityViewController,getTenantEntityView,hasAuthority('TENANT_ADMIN'),"entity.service.ts, entity-view.service.ts"
GET,/api/tenant/entityView,Internal / System APIs,EntityViewController,getTenantEntityViewByName,hasAuthority('TENANT_ADMIN'),
POST,/api/customer/{customerId}/entityView/{entityViewId},Internal / System APIs,EntityViewController,assignEntityViewToCustomer,hasAuthority('TENANT_ADMIN'),entity-view.service.ts
DELETE,/api/customer/entityView/{entityViewId},Internal / System APIs,EntityViewController,unassignEntityViewFromCustomer,"hasAnyAuthority('TENANT_ADMIN', 'CUSTOMER_USER')",entity-view.service.ts
GET,/api/customer/{customerId}/entityViews,Internal / System APIs,EntityViewController,getCustomerEntityViews,"hasAnyAuthority('TENANT_ADMIN', 'CUSTOMER_USER')",
GET,/api/customer/{customerId}/entityViewInfos,Internal / System APIs,EntityViewController,getCustomerEntityViewInfos,hasAuthority('TENANT_ADMIN'),"entity.service.ts, entity-view.service.ts"
GET,/api/tenant/entityViews,Internal / System APIs,EntityViewController,getTenantEntityViews,hasAuthority('TENANT_ADMIN'),
GET,/api/tenant/entityViewInfos,Internal / System APIs,EntityViewController,getTenantEntityViewInfos,"hasAnyAuthority('TENANT_ADMIN', 'CUSTOMER_USER')","entity.service.ts, entity-view.service.ts"
POST,/api/entityViews,Internal / System APIs,EntityViewController,findEntityViewsByQuery,"hasAnyAuthority('TENANT_ADMIN', 'CUSTOMER_USER')",entity-view.service.ts
GET,/api/entityView/types,Internal / System APIs,EntityViewController,getEntityViewTypes,hasAuthority('TENANT_ADMIN'),"entity.service.ts, entity-view.service.ts"
POST,/api/customer/public/entityView/{entityViewId},Internal / System APIs,EntityViewController,assignEntityViewToPublicCustomer,hasAuthority('TENANT_ADMIN'),entity-view.service.ts
POST,/api/edge/{edgeId}/entityView/{entityViewId},Internal / System APIs,EntityViewController,assignEntityViewToEdge,hasAuthority('TENANT_ADMIN'),entity-view.service.ts
DELETE,/api/edge/{edgeId}/entityView/{entityViewId},Internal / System APIs,EntityViewController,unassignEntityViewFromEdge,"hasAnyAuthority('TENANT_ADMIN', 'CUSTOMER_USER')",entity-view.service.ts
GET,/api/edge/{edgeId}/entityViews,Internal / System APIs,EntityViewController,getEdgeEntityViews,"hasAnyAuthority('TENANT_ADMIN', 'CUSTOMER_USER')","entity.service.ts, entity-view.service.ts"
GET,/api/entityViews,Internal / System APIs,EntityViewController,getEntityViewsByIdsV1,"hasAnyAuthority('TENANT_ADMIN', 'CUSTOMER_USER')",entity-view.service.ts
GET,/api/entityViews/list,Internal / System APIs,EntityViewController,getEntityViewsByIds,"hasAnyAuthority('TENANT_ADMIN', 'CUSTOMER_USER')",
POST,/api/alarm/rule,Alarm Management,AlarmRuleController,saveAlarmRule,hasAuthority('TENANT_ADMIN'),alarm-rules.service.ts
GET,/api/alarm/rule/{alarmRuleId},Alarm Management,AlarmRuleController,getAlarmRuleById,hasAuthority('TENANT_ADMIN'),alarm-rules.service.ts
GET,/api/alarm/rules/{entityType}/{entityId},Alarm Management,AlarmRuleController,getAlarmRulesByEntityId,hasAuthority('TENANT_ADMIN'),alarm-rules.service.ts
GET,/api/alarm/rules,Alarm Management,AlarmRuleController,getAlarmRules,hasAuthority('TENANT_ADMIN'),alarm-rules.service.ts
GET,/api/alarm/rules/names,Alarm Management,AlarmRuleController,getAlarmRuleNames,hasAuthority('TENANT_ADMIN'),alarm-rules.service.ts
DELETE,/api/alarm/rule/{alarmRuleId},Alarm Management,AlarmRuleController,deleteAlarmRule,hasAuthority('TENANT_ADMIN'),alarm-rules.service.ts
GET,/api/alarm/rule/{alarmRuleId}/debug,Alarm Management,AlarmRuleController,getLatestAlarmRuleDebugEvent,hasAuthority('TENANT_ADMIN'),alarm-rules.service.ts
POST,/api/alarm/rule/testScript,Alarm Management,AlarmRuleController,testAlarmRuleScript,hasAuthority('TENANT_ADMIN'),alarm-rules.service.ts
GET,/api/events/{entityType}/{entityId}/{eventType},Internal / System APIs,EventController,getEventsByType,"hasAnyAuthority('SYS_ADMIN', 'TENANT_ADMIN', 'CUSTOMER_USER')",event.service.ts
GET,/api/events/{entityType}/{entityId},Internal / System APIs,EventController,getEventsDeprecated,"hasAnyAuthority('SYS_ADMIN', 'TENANT_ADMIN', 'CUSTOMER_USER')",event.service.ts
POST,/api/events/{entityType}/{entityId},Internal / System APIs,EventController,getEventsByFilter,"hasAnyAuthority('SYS_ADMIN', 'TENANT_ADMIN', 'CUSTOMER_USER')",event.service.ts
POST,/api/events/{entityType}/{entityId}/clear,Internal / System APIs,EventController,clearEvents,"hasAnyAuthority('SYS_ADMIN', 'TENANT_ADMIN', 'CUSTOMER_USER')",event.service.ts
GET,/api/mail/config/template,Admin / Settings,MailConfigTemplateController,getMailConfigTemplates,"hasAnyAuthority('SYS_ADMIN', 'TENANT_ADMIN')",admin.service.ts
GET,/.well-known/assetlinks.json,Admin / Settings,QrCodeSettingsController,getAssetLinks,None,
GET,/.well-known/apple-app-site-association,Admin / Settings,QrCodeSettingsController,getAppleAppSiteAssociation,hasAnyAuthority('SYS_ADMIN'),
POST,/api/mobile/qr/settings,Admin / Settings,QrCodeSettingsController,saveQrCodeSettings,"hasAnyAuthority('SYS_ADMIN', 'TENANT_ADMIN', 'CUSTOMER_USER')",mobile-application.service.ts
GET,/api/mobile/qr/settings,Admin / Settings,QrCodeSettingsController,getQrCodeSettings,"hasAnyAuthority('SYS_ADMIN', 'TENANT_ADMIN', 'CUSTOMER_USER')",mobile-application.service.ts
GET,/api/mobile/qr/deepLink,Admin / Settings,QrCodeSettingsController,getMobileAppDeepLink,"hasAnyAuthority('SYS_ADMIN', 'TENANT_ADMIN', 'CUSTOMER_USER')",mobile-application.service.ts
GET,/api/noauth/qr/{secret},Admin / Settings,QrCodeSettingsController,getUserTokenByMobileSecret,None,
GET,/api/noauth/qr,Admin / Settings,QrCodeSettingsController,getApplicationRedirect,None,
GET,/api/tenant/{tenantId},Tenant / Customer,TenantController,getTenantById,"hasAnyAuthority('SYS_ADMIN', 'TENANT_ADMIN')","device.service.ts, tenant.service.ts, entity-view.service.ts, asset.service.ts, dashboard.service.ts, edge.service.ts"
GET,/api/tenant/info/{tenantId},Tenant / Customer,TenantController,getTenantInfoById,hasAuthority('SYS_ADMIN'),tenant.service.ts
POST,/api/tenant,Tenant / Customer,TenantController,saveTenant,"hasAnyAuthority('SYS_ADMIN', 'TENANT_ADMIN')","tenant.service.ts, tenant-profile.service.ts"
DELETE,/api/tenant/{tenantId},Tenant / Customer,TenantController,deleteTenant,hasAuthority('SYS_ADMIN'),"device.service.ts, tenant.service.ts, entity-view.service.ts, asset.service.ts, tenant-profile.service.ts, dashboard.service.ts, edge.service.ts"
GET,/api/tenants,Tenant / Customer,TenantController,getTenants,hasAuthority('SYS_ADMIN'),"entity.service.ts, tenant.service.ts"
GET,/api/tenantInfos,Tenant / Customer,TenantController,getTenantInfos,"hasAnyAuthority('SYS_ADMIN', 'TENANT_ADMIN')",tenant.service.ts
GET,/api/tenants,Tenant / Customer,TenantController,getTenantsByIdsV1,"hasAnyAuthority('SYS_ADMIN', 'TENANT_ADMIN')",
GET,/api/tenants/list,Tenant / Customer,TenantController,getTenantsByIds,"hasAnyAuthority('SYS_ADMIN', 'TENANT_ADMIN')","entity.service.ts, tenant.service.ts"
GET,/api/edges/enabled,OTA / Edge / Provisioning,EdgeController,isEdgesSupportEnabled,"hasAnyAuthority('TENANT_ADMIN', 'CUSTOMER_USER')",
GET,/api/edge/{edgeId},OTA / Edge / Provisioning,EdgeController,getEdgeById,"hasAnyAuthority('TENANT_ADMIN', 'CUSTOMER_USER')",edge.service.ts
GET,/api/edge/info/{edgeId},OTA / Edge / Provisioning,EdgeController,getEdgeInfoById,hasAuthority('TENANT_ADMIN'),edge.service.ts
POST,/api/edge,OTA / Edge / Provisioning,EdgeController,saveEdge,hasAuthority('TENANT_ADMIN'),"entity.service.ts, edge.service.ts"
DELETE,/api/edge/{edgeId},OTA / Edge / Provisioning,EdgeController,deleteEdge,hasAuthority('TENANT_ADMIN'),edge.service.ts
GET,/api/edges,OTA / Edge / Provisioning,EdgeController,getEdges,hasAuthority('TENANT_ADMIN'),"entity.service.ts, edge.service.ts"
POST,/api/customer/{customerId}/edge/{edgeId},OTA / Edge / Provisioning,EdgeController,assignEdgeToCustomer,hasAuthority('TENANT_ADMIN'),edge.service.ts
DELETE,/api/customer/edge/{edgeId},OTA / Edge / Provisioning,EdgeController,unassignEdgeFromCustomer,hasAuthority('TENANT_ADMIN'),edge.service.ts
POST,/api/customer/public/edge/{edgeId},OTA / Edge / Provisioning,EdgeController,assignEdgeToPublicCustomer,hasAuthority('TENANT_ADMIN'),edge.service.ts
GET,/api/tenant/edges,OTA / Edge / Provisioning,EdgeController,getTenantEdges,hasAuthority('TENANT_ADMIN'),
GET,/api/tenant/edgeInfos,OTA / Edge / Provisioning,EdgeController,getTenantEdgeInfos,hasAuthority('TENANT_ADMIN'),"entity.service.ts, edge.service.ts"
GET,/api/tenant/edges,OTA / Edge / Provisioning,EdgeController,getTenantEdge,hasAuthority('TENANT_ADMIN'),"entity.service.ts, edge.service.ts"
GET,/api/tenant/edge,OTA / Edge / Provisioning,EdgeController,getTenantEdgeByName,hasAnyAuthority('TENANT_ADMIN'),
POST,/api/edge/{edgeId}/{ruleChainId}/root,OTA / Edge / Provisioning,EdgeController,setEdgeRootRuleChain,"hasAnyAuthority('TENANT_ADMIN', 'CUSTOMER_USER')",rule-chain.service.ts
GET,/api/customer/{customerId}/edges,OTA / Edge / Provisioning,EdgeController,getCustomerEdges,"hasAnyAuthority('TENANT_ADMIN', 'CUSTOMER_USER')",
GET,/api/customer/{customerId}/edgeInfos,OTA / Edge / Provisioning,EdgeController,getCustomerEdgeInfos,"hasAnyAuthority('TENANT_ADMIN', 'CUSTOMER_USER')","entity.service.ts, edge.service.ts"
GET,/api/edges,OTA / Edge / Provisioning,EdgeController,getEdgesByIds,"hasAnyAuthority('TENANT_ADMIN', 'CUSTOMER_USER')",edge.service.ts
GET,/api/edges/list,OTA / Edge / Provisioning,EdgeController,getEdgeList,"hasAnyAuthority('TENANT_ADMIN', 'CUSTOMER_USER')",
POST,/api/edges,OTA / Edge / Provisioning,EdgeController,findEdgesByQuery,"hasAnyAuthority('TENANT_ADMIN', 'CUSTOMER_USER')",edge.service.ts
GET,/api/edge/types,OTA / Edge / Provisioning,EdgeController,getEdgeTypes,hasAuthority('TENANT_ADMIN'),"entity.service.ts, edge.service.ts"
POST,/api/edge/sync/{edgeId},OTA / Edge / Provisioning,EdgeController,syncEdge,hasAuthority('TENANT_ADMIN'),edge.service.ts
GET,/api/edge/missingToRelatedRuleChains/{edgeId},OTA / Edge / Provisioning,EdgeController,findMissingToRelatedRuleChains,hasAnyAuthority('TENANT_ADMIN'),edge.service.ts
POST,/api/edge/bulk_import,OTA / Edge / Provisioning,EdgeController,processEdgesBulkImport,hasAnyAuthority('TENANT_ADMIN'),edge.service.ts
GET,/api/edge/instructions/install/{edgeId}/{method},OTA / Edge / Provisioning,EdgeController,getEdgeInstallInstructions,hasAnyAuthority('TENANT_ADMIN'),edge.service.ts
GET,/api/edge/instructions/upgrade/{edgeVersion}/{method},OTA / Edge / Provisioning,EdgeController,getEdgeUpgradeInstructions,hasAnyAuthority('TENANT_ADMIN'),edge.service.ts
GET,/api/edge/{edgeId}/upgrade/available,OTA / Edge / Provisioning,EdgeController,isEdgeUpgradeAvailable,hasAnyAuthority('TENANT_ADMIN'),edge.service.ts
POST,/api/apiKey,Admin / Settings,ApiKeyController,saveApiKey,"hasAnyAuthority('SYS_ADMIN','TENANT_ADMIN', 'CUSTOMER_USER')",api-key.service.ts
GET,/api/apiKeys/{userId},Admin / Settings,ApiKeyController,getUserApiKeys,"hasAnyAuthority('SYS_ADMIN','TENANT_ADMIN', 'CUSTOMER_USER')",api-key.service.ts
PUT,/api/apiKey/{id}/description,Admin / Settings,ApiKeyController,updateApiKeyDescription,"hasAnyAuthority('SYS_ADMIN','TENANT_ADMIN', 'CUSTOMER_USER')",api-key.service.ts
PUT,/api/apiKey/{id}/enabled/{enabledValue},Admin / Settings,ApiKeyController,enableApiKey,"hasAnyAuthority('SYS_ADMIN','TENANT_ADMIN', 'CUSTOMER_USER')",api-key.service.ts
DELETE,/api/apiKey/{id},Admin / Settings,ApiKeyController,deleteApiKey,"hasAnyAuthority('SYS_ADMIN','TENANT_ADMIN', 'CUSTOMER_USER')",api-key.service.ts
POST,/api/trendz/settings,Reports,TrendzController,saveTrendzSettings,hasAnyAuthority('TENANT_ADMIN'),trendz-settings.service.ts
GET,/api/trendz/settings,Reports,TrendzController,getTrendzSettings,"hasAnyAuthority('TENANT_ADMIN', 'CUSTOMER_USER')",trendz-settings.service.ts
GET,/api/device-connectivity/{deviceId},Device Management,DeviceConnectivityController,getDevicePublishTelemetryCommands,"hasAnyAuthority('TENANT_ADMIN', 'CUSTOMER_USER')",device.service.ts
GET,/api/device-connectivity/{protocol}/certificate/download,Device Management,DeviceConnectivityController,downloadServerCertificate,None,
GET,/api/device-connectivity/gateway-launch/{deviceId}/docker-compose/download,Device Management,DeviceConnectivityController,downloadGatewayDockerCompose,None,device.service.ts
POST,/api/ai/model,Internal / System APIs,AiModelController,saveAiModel,hasAuthority('TENANT_ADMIN'),ai-model.service.ts
GET,/api/ai/model/{modelUuid},Internal / System APIs,AiModelController,getAiModelById,hasAuthority('TENANT_ADMIN'),"entity.service.ts, ai-model.service.ts"
GET,/api/ai/model,Internal / System APIs,AiModelController,getAiModels,hasAuthority('TENANT_ADMIN'),"entity.service.ts, ai-model.service.ts"
